match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sun,Mar 3,Eibar,Celta,1,0,0,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/eibar-v-celta-de-vigo/game-center/sp-id-80402000001009574,63,37,15,3,4,1,14,16,,,1,3,5,3,1,1,0,0
Sat,Mar 2,Real Madrid,Barça,0,1,0,0,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-madrid-v-barcelona/game-center/sp-id-80402000001009570,49,51,17,9,3,4,16,13,8,6,3,3,2,2,3,2,0,0
Sat,Mar 2,Huesca,Sevilla FC,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-sevilla/game-center/sp-id-80402000001009568,28,72,7,12,3,5,15,16,3,12,1,1,1,4,5,4,0,0
Sat,Mar 2,Villarreal,Alavés,1,2,0,1,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/villarreal-v-alav%c3%a9s/game-center/sp-id-80402000001009571,60,40,9,10,2,2,15,12,8,2,,,5,3,2,3,0,0
Sat,Mar 2,Espanyol,Valladolid,3,1,1,2,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-real-valladolid/game-center/sp-id-80402000001009567,54,46,15,14,6,3,17,8,5,3,2,3,3,1,2,2,0,0
Fri,Mar 1,Rayo,Girona,0,2,0,0,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/rayo-vallecano-v-girona/game-center/sp-id-80402000001009575,54,46,9,12,3,4,17,23,7,1,2,3,1,2,3,4,1,0
Mon,Feb 25,Girona,Real Sociedad,0,0,99,99,99,99,https://www.msn.com/en-us/sports/soccer/la-liga/girona-v-real-sociedad/game-center/sp-id-80402000001009561,46,54,10,7,3,1,26,15,3,5,1,3,1,4,4,1,0,0
Sun,Feb 24,Levante,Real Madrid,1,2,0,1,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/levante-v-real-madrid/game-center/sp-id-80402000001009563,40,60,11,19,2,5,17,11,4,6,3,1,,,3,1,1,1
Sun,Feb 24,Valladolid,Betis,0,2,0,0,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-valladolid-v-real-betis/game-center/sp-id-80402000001009565,48,52,10,6,2,2,10,9,13,4,,,5,1,1,2,0,0
Sun,Feb 24,Atlético,Villarreal,2,0,1,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/atl%c3%a9tico-de-madrid-v-villarreal/game-center/sp-id-80402000001009558,51,49,15,14,7,3,9,10,6,7,3,5,,,0,3,0,0
Sun,Feb 24,Leganés,Valencia,1,1,0,1,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/legan%c3%a9s-v-valencia-cf/game-center/sp-id-80402000001009562,50,50,17,6,6,1,14,10,4,2,,,,,5,3,0,0
Sat,Feb 23,Athletic,Eibar,1,0,1,0,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/athletic-club-v-eibar/game-center/sp-id-80402000001009557,46,54,9,7,4,2,10,17,10,2,2,3,5,1,3,4,0,0
Sat,Feb 23,Alavés,Celta,0,0,99,99,99,99,https://www.msn.com/en-us/sports/soccer/la-liga/alav%c3%a9s-v-celta-de-vigo/game-center/sp-id-80402000001009556,47,53,17,8,4,2,15,9,3,4,2,4,3,3,2,2,0,0
Sat,Feb 23,Sevilla FC,Barça,2,4,2,0,1,3,https://www.msn.com/en-us/sports/soccer/la-liga/sevilla-v-barcelona/game-center/sp-id-80402000001009564,40,60,13,17,4,8,15,11,3,8,4,2,4,3,6,1,0,0
Sat,Feb 23,Getafe,Rayo,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/getafe-v-rayo-vallecano/game-center/sp-id-80402000001009560,42,58,11,7,2,2,12,13,2,2,,,3,3,2,1,0,0
Fri,Feb 22,Espanyol,Huesca,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-huesca/game-center/sp-id-80402000001009559,68,32,13,12,2,4,9,16,7,4,3,2,5,5,1,4,0,0
Mon,Feb 18,Huesca,Athletic,0,1,0,0,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-athletic-club/game-center/sp-id-80402000001009550,50,50,12,9,2,4,16,11,3,5,3,3,2,2,5,1,0,0
Sun,Feb 17,Betis,Alavés,1,1,1,0,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-betis-v-alav%c3%a9s/game-center/sp-id-80402000001009549,66,34,18,6,9,3,10,12,6,3,2,7,,,4,1,0,0
